year;iso;mode;SSP1_noCOVID;SSP2_noCOVID;SSP5_noCOVID;SSP1;SSP2;SSP5
1965;ABW;entrp_pass_lo;283.6484695;283.6484695;283.6484695;283.6484695;283.6484695;283.6484695
1970;ABW;entrp_pass_lo;381.8884823;381.8884823;381.8884823;381.8884823;381.8884823;381.8884823
1975;ABW;entrp_pass_lo;575.7406552;575.7406552;575.7406552;575.7406552;575.7406552;575.7406552
1980;ABW;entrp_pass_lo;845.4016819;845.4016819;845.4016819;845.4016819;845.4016819;845.4016819
1985;ABW;entrp_pass_lo;1276.468099;1276.468099;1276.468099;1276.468099;1276.468099;1276.468099
1990;ABW;entrp_pass_lo;2201.75138;2201.75138;2201.75138;2201.75138;2201.75138;2201.75138
1995;ABW;entrp_pass_lo;3040.812013;3040.812013;3040.812013;3040.812013;3040.812013;3040.812013
2000;ABW;entrp_pass_lo;3742.120595;3742.120595;3742.120595;3742.120595;3742.120595;3742.120595
2005;ABW;entrp_pass_lo;3931.503388;3931.503388;3931.503388;3931.503388;3931.503388;3931.503388
2010;ABW;entrp_pass_lo;3186.183441;3186.183441;3186.183441;3186.183441;3186.183441;3186.183441
2015;ABW;entrp_pass_lo;4222.391245;4222.391245;4222.391245;4222.391245;4222.391245;4222.391245
2020;ABW;entrp_pass_lo;3709.47821;3707.47821;3717.906782;3709.47821;3707.47821;3717.906782
2025;ABW;entrp_pass_lo;3226.565175;3211.565175;3262.422318;3226.565175;3211.565175;3262.422318
2030;ABW;entrp_pass_lo;2787.65214;2737.65214;2882.937855;2787.65214;2737.65214;2882.937855
2035;ABW;entrp_pass_lo;2400.739105;2283.739105;2605.453391;2400.739105;2283.739105;2605.453391
2040;ABW;entrp_pass_lo;2073.82607;1862.82607;2437.968927;2073.82607;1862.82607;2437.968927
2045;ABW;entrp_pass_lo;1810.913035;1478.913035;2396.484464;1810.913035;1478.913035;2396.484464
2050;ABW;entrp_pass_lo;1617;1139;2498;1617;1139;2498
2055;ABW;entrp_pass_lo;2067;1422;3327;2067;1422;3327
2060;ABW;entrp_pass_lo;2586;1762;4318;2586;1762;4318
2070;ABW;entrp_pass_lo;3797;2621;6769;3797;2621;6769
2080;ABW;entrp_pass_lo;5171;3711;9770;5171;3711;9770
2090;ABW;entrp_pass_lo;6469;4951;12921;6469;4951;12921
2100;ABW;entrp_pass_lo;7505;6301;15810;7505;6301;15810
2110;ABW;entrp_pass_lo;7505;6301;15810;7505;6301;15810
2130;ABW;entrp_pass_lo;7505;6301;15810;7505;6301;15810
2150;ABW;entrp_pass_lo;7505;6301;15810;7505;6301;15810
1965;AFG;entrp_pass_lo;6894.417923;6894.417923;6894.417923;6894.417923;6894.417923;6894.417923
1970;AFG;entrp_pass_lo;7777.946594;7777.946594;7777.946594;7777.946594;7777.946594;7777.946594
1975;AFG;entrp_pass_lo;8855.21902;8855.21902;8855.21902;8855.21902;8855.21902;8855.21902
1980;AFG;entrp_pass_lo;9008.347092;9008.347092;9008.347092;9008.347092;9008.347092;9008.347092
1985;AFG;entrp_pass_lo;9675.752842;9675.752842;9675.752842;9675.752842;9675.752842;9675.752842
1990;AFG;entrp_pass_lo;7695.99951;7695.99951;7695.99951;7695.99951;7695.99951;7695.99951
1995;AFG;entrp_pass_lo;7701.800842;7701.800842;7701.800842;7701.800842;7701.800842;7701.800842
2000;AFG;entrp_pass_lo;8162.367009;8162.367009;8162.367009;8162.367009;8162.367009;8162.367009
2005;AFG;entrp_pass_lo;17660.34395;17660.34395;17660.34395;17660.34395;17660.34395;17660.34395
2010;AFG;entrp_pass_lo;32652.9695;32652.9695;32652.9695;32652.9695;32652.9695;32652.9695
2015;AFG;entrp_pass_lo;46234.00952;46234.00952;46234.00952;46234.00952;46234.00952;46234.00952
2020;AFG;entrp_pass_lo;57945.29387;58502.72245;57735.43673;57945.29387;58502.72245;57735.43673
2025;AFG;entrp_pass_lo;77499.57823;76355.43537;78131.86394;77499.57823;76355.43537;78131.86394
2030;AFG;entrp_pass_lo;108761.8626;100781.1483;113561.2912;108761.8626;100781.1483;113561.2912
2035;AFG;entrp_pass_lo;156646.1469;133279.8612;171088.7184;156646.1469;133279.8612;171088.7184
2040;AFG;entrp_pass_lo;226602.4313;177266.5741;257156.1456;226602.4313;177266.5741;257156.1456
2045;AFG;entrp_pass_lo;324639.7156;236227.2871;379930.5728;324639.7156;236227.2871;379930.5728
2050;AFG;entrp_pass_lo;456674;314371;547707;456674;314371;547707
2055;AFG;entrp_pass_lo;627328;415985;767620;627328;415985;767620
2060;AFG;entrp_pass_lo;839381;546228;1044537;839381;546228;1044537
2070;AFG;entrp_pass_lo;1389577;920484;1785195;1389577;920484;1785195
2080;AFG;entrp_pass_lo;2086194;1499321;2776635;2086194;1499321;2776635
