year;iso;mode;SSP1_noCOVID;SSP2_noCOVID;SSP5_noCOVID;SSP1;SSP2;SSP5
1965;ABW;entrp_pass_lo;0.05736;0.05736;0.05736;0.05736;0.05736;0.05736
1970;ABW;entrp_pass_lo;0.059063;0.059063;0.059063;0.059063;0.059063;0.059063
1975;ABW;entrp_pass_lo;0.060657;0.060657;0.060657;0.060657;0.060657;0.060657
1980;ABW;entrp_pass_lo;0.060096;0.060096;0.060096;0.060096;0.060096;0.060096
1985;ABW;entrp_pass_lo;0.063026;0.063026;0.063026;0.063026;0.063026;0.063026
1990;ABW;entrp_pass_lo;0.062149;0.062149;0.062149;0.062149;0.062149;0.062149
1995;ABW;entrp_pass_lo;0.080324;0.080324;0.080324;0.080324;0.080324;0.080324
2000;ABW;entrp_pass_lo;0.090853;0.090853;0.090853;0.090853;0.090853;0.090853
2005;ABW;entrp_pass_lo;0.100031;0.100031;0.100031;0.100031;0.100031;0.100031
2010;ABW;entrp_pass_lo;0.101669;0.101669;0.101669;0.101669;0.101669;0.101669
2015;ABW;entrp_pass_lo;0.104341;0.104341;0.104341;0.104341;0.104341;0.104341
2020;ABW;entrp_pass_lo;0.112975586;0.113621164;0.114814475;0.112975586;0.113621164;0.114814475
2025;ABW;entrp_pass_lo;0.120781323;0.12226446;0.125181953;0.120781323;0.12226446;0.125181953
2030;ABW;entrp_pass_lo;0.127655424;0.130231248;0.134730093;0.127655424;0.130231248;0.134730093
2035;ABW;entrp_pass_lo;0.133923677;0.137430396;0.143833181;0.133923677;0.137430396;0.143833181
2040;ABW;entrp_pass_lo;0.139522637;0.14408254;0.152364043;0.139522637;0.14408254;0.152364043
2045;ABW;entrp_pass_lo;0.144172045;0.150124848;0.159813521;0.144172045;0.150124848;0.159813521
2050;ABW;entrp_pass_lo;0.147776663;0.155624226;0.16590519;0.147776663;0.155624226;0.16590519
2055;ABW;entrp_pass_lo;0.148569336;0.158801226;0.168626277;0.148569336;0.158801226;0.168626277
2060;ABW;entrp_pass_lo;0.148656108;0.161699489;0.170334029;0.148656108;0.161699489;0.170334029
2070;ABW;entrp_pass_lo;0.14606229;0.164751506;0.169760931;0.14606229;0.164751506;0.169760931
2080;ABW;entrp_pass_lo;0.139950184;0.163600306;0.164081946;0.139950184;0.163600306;0.164081946
2090;ABW;entrp_pass_lo;0.129071098;0.158546722;0.152101211;0.129071098;0.158546722;0.152101211
2100;ABW;entrp_pass_lo;0.114125524;0.150696113;0.134807113;0.114125524;0.150696113;0.134807113
2110;ABW;entrp_pass_lo;0.114125524;0.150696113;0.134807113;0.114125524;0.150696113;0.134807113
2130;ABW;entrp_pass_lo;0.114125524;0.150696113;0.134807113;0.114125524;0.150696113;0.134807113
2150;ABW;entrp_pass_lo;0.114125524;0.150696113;0.134807113;0.114125524;0.150696113;0.134807113
1965;AFG;entrp_pass_lo;9.938414;9.938414;9.938414;9.938414;9.938414;9.938414
1970;AFG;entrp_pass_lo;11.126123;11.126123;11.126123;11.126123;11.126123;11.126123
1975;AFG;entrp_pass_lo;12.590286;12.590286;12.590286;12.590286;12.590286;12.590286
1980;AFG;entrp_pass_lo;13.24837;13.24837;13.24837;13.24837;13.24837;13.24837
1985;AFG;entrp_pass_lo;11.78305;11.78305;11.78305;11.78305;11.78305;11.78305
1990;AFG;entrp_pass_lo;12.249114;12.249114;12.249114;12.249114;12.249114;12.249114
1995;AFG;entrp_pass_lo;17.099541;17.099541;17.099541;17.099541;17.099541;17.099541
2000;AFG;entrp_pass_lo;20.093756;20.093756;20.093756;20.093756;20.093756;20.093756
2005;AFG;entrp_pass_lo;25.070798;25.070798;25.070798;25.070798;25.070798;25.070798
2010;AFG;entrp_pass_lo;28.803167;28.803167;28.803167;28.803167;28.803167;28.803167
2015;AFG;entrp_pass_lo;33.736494;33.736494;33.736494;33.736494;33.736494;33.736494
2020;AFG;entrp_pass_lo;38.14997998;38.87278549;37.93353301;38.14997998;38.87278549;37.93353301
2025;AFG;entrp_pass_lo;42.56531153;44.50124939;41.97432155;42.56531153;44.50124939;41.97432155
2030;AFG;entrp_pass_lo;46.75092813;50.53645586;45.71803611;46.75092813;50.53645586;45.71803611
2035;AFG;entrp_pass_lo;50.79675938;56.77473689;49.26729163;50.79675938;56.77473689;49.26729163
2040;AFG;entrp_pass_lo;54.53957775;63.02230291;52.43624406;54.53957775;63.02230291;52.43624406
2045;AFG;entrp_pass_lo;57.85117249;69.18099374;55.08601858;57.85117249;69.18099374;55.08601858
2050;AFG;entrp_pass_lo;60.67959996;75.16195756;57.17856888;60.67959996;75.16195756;57.17856888
2055;AFG;entrp_pass_lo;62.84556078;80.64291608;58.56850988;62.84556078;80.64291608;58.56850988
2060;AFG;entrp_pass_lo;64.55679723;85.82156153;59.47369236;64.55679723;85.82156153;59.47369236
2070;AFG;entrp_pass_lo;66.94033042;95.12075051;60.45678459;66.94033042;95.12075051;60.45678459
2080;AFG;entrp_pass_lo;67.82412829;102.8993861;60.34724569;67.82412829;102.8993861;60.34724569
2090;AFG;entrp_pass_lo;67.2606334;108.9802871;59.33534829;67.2606334;108.9802871;59.33534829
2100;AFG;entrp_pass_lo;65.37740201;113.0859784;57.59422948;65.37740201;113.0859784;57.59422948
2110;AFG;entrp_pass_lo;65.37740201;113.0859784;57.59422948;65.37740201;113.0859784;57.59422948
2130;AFG;entrp_pass_lo;65.37740201;113.0859784;57.59422948;65.37740201;113.0859784;57.59422948
2150;AFG;entrp_pass_lo;65.37740201;113.0859784;57.59422948;65.37740201;113.0859784;57.59422948
1965;AGO;entrp_pass_lo;6.203299;6.203299;6.203299;6.203299;6.203299;6.203299
1970;AGO;entrp_pass_lo;6.776381;6.776381;6.776381;6.776381;6.776381;6.776381
1975;AGO;entrp_pass_lo;7.682479;7.682479;7.682479;7.682479;7.682479;7.682479
1980;AGO;entrp_pass_lo;8.9299;8.9299;8.9299;8.9299;8.9299;8.9299
1985;AGO;entrp_pass_lo;10.609042;10.609042;10.609042;10.609042;10.609042;10.609042
1990;AGO;entrp_pass_lo;12.171441;12.171441;12.171441;12.171441;12.171441;12.171441
1995;AGO;entrp_pass_lo;14.268994;14.268994;14.268994;14.268994;14.268994;14.268994
2000;AGO;entrp_pass_lo;16.440924;16.440924;16.440924;16.440924;16.440924;16.440924
2005;AGO;entrp_pass_lo;19.552542;19.552542;19.552542;19.552542;19.552542;19.552542
2010;AGO;entrp_pass_lo;23.369131;23.369131;23.369131;23.369131;23.369131;23.369131
2015;AGO;entrp_pass_lo;27.859305;27.859305;27.859305;27.859305;27.859305;27.859305
2020;AGO;entrp_pass_lo;29.79746029;30.25054127;29.83541074;29.79746029;30.25054127;29.83541074
2025;AGO;entrp_pass_lo;31.66071139;32.73739261;31.75582211;31.66071139;32.73739261;31.75582211
2030;AGO;entrp_pass_lo;33.32750741;35.19607924;33.48101049;33.32750741;35.19607924;33.48101049
2035;AGO;entrp_pass_lo;34.87676746;37.55046985;35.08905457;34.87676746;37.55046985;35.08905457
2040;AGO;entrp_pass_lo;36.24469524;39.83425881;36.51805973;36.24469524;39.83425881;36.51805973
2045;AGO;entrp_pass_lo;37.37997526;41.98026527;37.71680899;37.37997526;41.98026527;37.71680899
2050;AGO;entrp_pass_lo;38.2469523;43.97615594;38.64617363;38.2469523;43.97615594;38.64617363
2055;AGO;entrp_pass_lo;39.73319967;46.54596985;40.18779871;39.73319967;46.54596985;40.18779871
2060;AGO;entrp_pass_lo;40.9702355;48.8558704;41.47389538;40.9702355;48.8558704;41.47389538
2070;AGO;entrp_pass_lo;42.67111112;52.59780585;43.24485677;42.67111112;52.59780585;43.24485677
2080;AGO;entrp_pass_lo;43.29647046;55.14177027;43.90252479;43.29647046;55.14177027;43.90252479
2090;AGO;entrp_pass_lo;42.88534367;56.59823347;43.48756424;42.88534367;56.59823347;43.48756424
2100;AGO;entrp_pass_lo;41.53576327;56.89192038;42.10504856;41.53576327;56.89192038;42.10504856
2110;AGO;entrp_pass_lo;41.53576327;56.89192038;42.10504856;41.53576327;56.89192038;42.10504856
2130;AGO;entrp_pass_lo;41.53576327;56.89192038;42.10504856;41.53576327;56.89192038;42.10504856
2150;AGO;entrp_pass_lo;41.53576327;56.89192038;42.10504856;41.53576327;56.89192038;42.10504856
1965;AIA;entrp_pass_lo;0.006114;0.006114;0.006114;0.006114;0.006114;0.006114
1970;AIA;entrp_pass_lo;0.0064;0.0064;0.0064;0.0064;0.0064;0.0064
1975;AIA;entrp_pass_lo;0.00663;0.00663;0.00663;0.00663;0.00663;0.00663
1980;AIA;entrp_pass_lo;0.006698;0.006698;0.006698;0.006698;0.006698;0.006698
1985;AIA;entrp_pass_lo;0.006662;0.006662;0.006662;0.006662;0.006662;0.006662
1990;AIA;entrp_pass_lo;0.008334;0.008334;0.008334;0.008334;0.008334;0.008334
1995;AIA;entrp_pass_lo;0.009807;0.009807;0.009807;0.009807;0.009807;0.009807
2000;AIA;entrp_pass_lo;0.011071;0.011071;0.011071;0.011071;0.011071;0.011071
2005;AIA;entrp_pass_lo;0.012637;0.012637;0.012637;0.012637;0.012637;0.012637
2010;AIA;entrp_pass_lo;0.013768;0.013768;0.013768;0.013768;0.013768;0.013768
