year;sector;reference_demand_goessling et.al;reference_demand_JADC;reference AIM, SSP2;reference AIM, SSP1;reference AIM, SSP5
2000;trn_aviation_intl;;;;;
2000;trn_aviation_intl_B;;;;;
2000;trn_aviation_intl_d_B;;;;;
2000;trn_aviation_intl_d_L;;;;;
2000;trn_aviation_intl_L;;;;;
2001;trn_aviation_intl;;;;;
2001;trn_aviation_intl_B;;;;;
2001;trn_aviation_intl_d_B;;;;;
2001;trn_aviation_intl_d_L;;;;;
2001;trn_aviation_intl_L;;;;;
2002;trn_aviation_intl;;;;;
2002;trn_aviation_intl_B;;;;;
2002;trn_aviation_intl_d_B;;;;;
2002;trn_aviation_intl_d_L;;;;;
2002;trn_aviation_intl_L;;;;;
2003;trn_aviation_intl;;;;;
2003;trn_aviation_intl_B;;;;;
2003;trn_aviation_intl_d_B;;;;;
2003;trn_aviation_intl_d_L;;;;;
2003;trn_aviation_intl_L;;;;;
2004;trn_aviation_intl;;;;;
2004;trn_aviation_intl_B;;;;;
2004;trn_aviation_intl_d_B;;;;;
2004;trn_aviation_intl_d_L;;;;;
2004;trn_aviation_intl_L;;;;;
2005;trn_aviation_intl;;;;;
2005;trn_aviation_intl_B;;;;;
2005;trn_aviation_intl_d_B;;;;;
2005;trn_aviation_intl_d_L;;;;;
2005;trn_aviation_intl_L;;;;;
2006;trn_aviation_intl;;;;;
2006;trn_aviation_intl_B;;;;;
2006;trn_aviation_intl_d_B;;;;;
2006;trn_aviation_intl_d_L;;;;;
2006;trn_aviation_intl_L;;;;;
2007;trn_aviation_intl;;;;;
2007;trn_aviation_intl_B;;;;;
2007;trn_aviation_intl_d_B;;;;;
2007;trn_aviation_intl_d_L;;;;;
2007;trn_aviation_intl_L;;;;;
2008;trn_aviation_intl;;;;;
2008;trn_aviation_intl_B;;;;;
2008;trn_aviation_intl_d_B;;;;;
2008;trn_aviation_intl_d_L;;;;;
2008;trn_aviation_intl_L;;;;;
2009;trn_aviation_intl;;;;;
2009;trn_aviation_intl_B;;;;;
2009;trn_aviation_intl_d_B;;;;;
2009;trn_aviation_intl_d_L;;;;;
2009;trn_aviation_intl_L;;;;;
2010;trn_aviation_intl;;;;;
2010;trn_aviation_intl_B;;;;;
2010;trn_aviation_intl_d_B;;;;;
2010;trn_aviation_intl_d_L;;;;;
2010;trn_aviation_intl_L;;;;;
2011;trn_aviation_intl;;;;;
2011;trn_aviation_intl_B;;;;;
2011;trn_aviation_intl_d_B;;;;;
2011;trn_aviation_intl_d_L;;;;;
2011;trn_aviation_intl_L;;;;;
2012;trn_aviation_intl;;;;;
2012;trn_aviation_intl_B;;;;;
2012;trn_aviation_intl_d_B;;;;;
2012;trn_aviation_intl_d_L;;;;;
2012;trn_aviation_intl_L;;;;;
2013;trn_aviation_intl;;;;;
