region;year;tot_price;tot_VOT_price;fuel_price_pkm;non_fuel_price
CAZ;1990;0.16327132;0.046605847;0.065005634;0.051659839
CAZ;2005;0.179206468;0.062541007;0.065005634;0.051659827
CAZ;2010;0.176028504;0.064640289;0.062126363;0.049261853
CAZ;2015;0.173827616;0.070302897;0.056549748;0.046974971
CAZ;2020;0.179961795;0.084999671;0.050164706;0.044797418
CAZ;2025;0.183525821;0.089043414;0.050910635;0.043571772
CAZ;2030;0.186990931;0.093440345;0.051166869;0.042383718
CAZ;2035;0.191677446;0.098902258;0.051541557;0.041233631
CAZ;2040;0.196954777;0.104787336;0.050942178;0.041225264
CAZ;2045;0.199809749;0.110805623;0.047787073;0.041217053
CAZ;2050;0.204664825;0.116341667;0.047112409;0.041210749
CAZ;2055;0.213340184;0.122042279;0.050092496;0.041205409
CAZ;2060;0.223734467;0.128288818;0.054244538;0.041201111
CAZ;2070;0.241942268;0.142907509;0.057837047;0.041197712
CAZ;2080;0.260218053;0.158445834;0.060573727;0.041198492
CAZ;2090;0.277960211;0.175513067;0.061246509;0.041200635
CAZ;2100;0.297792009;0.19508174;0.061507233;0.041203036
CHA;1990;0.114908945;0.002385614;0.05744466;0.055078671
CHA;2005;0.117711604;0.005802109;0.05744466;0.054464836
CHA;2010;0.113587614;0.008404287;0.05372407;0.051459256
CHA;2015;0.108646388;0.011493495;0.047919912;0.049232981
CHA;2020;0.103235613;0.016215508;0.0400134;0.047006705
CHA;2025;0.106676797;0.021868624;0.040027744;0.044780429
CHA;2030;0.11352721;0.028245468;0.042727588;0.042554153
CHA;2035;0.115944758;0.034773012;0.040843869;0.040327877
CHA;2040;0.117621212;0.040851584;0.036440421;0.040329207
CHA;2045;0.121619085;0.046928352;0.034365967;0.040324766
CHA;2050;0.125054296;0.052139217;0.03259694;0.040318138
CHA;2055;0.131634758;0.056311624;0.03501381;0.040309324
CHA;2060;0.139200541;0.060039649;0.038860733;0.040300159
CHA;2070;0.148995765;0.066409527;0.042300674;0.040285564
CHA;2080;0.155608427;0.071378037;0.043953961;0.04027643
CHA;2090;0.162609634;0.076195058;0.046144229;0.040270347
CHA;2100;0.16833148;0.08161862;0.0464486;0.04026426
DEU;1990;0.208673356;0.038740397;0.118274212;0.051658747
DEU;2005;0.219645157;0.049712309;0.118274212;0.051658635
DEU;2010;0.214206749;0.050231476;0.115314604;0.048660668
DEU;2015;0.207382228;0.054489802;0.107079747;0.045812679
DEU;2020;0.203523409;0.065034651;0.095386668;0.043102091
DEU;2025;0.204412355;0.068457126;0.094541049;0.04141418
DEU;2030;0.20403222;0.072620505;0.091627074;0.039784642
DEU;2035;0.199943523;0.077534109;0.084198913;0.0382105
DEU;2040;0.202585306;0.082833185;0.081540776;0.038211345
DEU;2045;0.208342547;0.08812145;0.082010405;0.038210692
DEU;2050;0.214146024;0.093190719;0.082743808;0.038211498
DEU;2055;0.223611737;0.098641249;0.086758965;0.038211523
DEU;2060;0.232458341;0.104542747;0.089704046;0.038211547
DEU;2070;0.247375057;0.117539324;0.091624146;0.038211587
DEU;2080;0.262763828;0.131105804;0.093446407;0.038211616
DEU;2090;0.279959369;0.146128628;0.095619103;0.038211638
DEU;2100;0.299053592;0.163019005;0.097822931;0.038211656
ECE;1990;0.158928984;0.012229809;0.095039725;0.05165945
ECE;2005;0.164051735;0.01735256;0.095039725;0.05165945
ECE;2010;0.165714958;0.020381046;0.096215189;0.049118723
ECE;2015;0.163058204;0.023497211;0.092324642;0.047236351
ECE;2020;0.156962838;0.026483756;0.085125102;0.04535398
ECE;2025;0.155464307;0.029699328;0.082293371;0.043471608
ECE;2030;0.151238923;0.033280002;0.076369685;0.041589236
ECE;2035;0.145312476;0.037000381;0.067984218;0.040327877
ECE;2040;0.145402152;0.041241588;0.063831357;0.040329207
ECE;2045;0.149019081;0.044916156;0.063778159;0.040324766
ECE;2050;0.15028408;0.048161002;0.06180494;0.040318138
ECE;2055;0.155360447;0.05143695;0.063614173;0.040309324
ECE;2060;0.163198353;0.054969389;0.067928805;0.040300159
ECE;2070;0.173283205;0.06290314;0.070094501;0.040285564
ECE;2080;0.184203701;0.070640207;0.073287064;0.04027643
ECE;2090;0.19306583;0.078814616;0.073980867;0.040270347
ECE;2100;0.197386274;0.087969415;0.069152599;0.04026426
ECS;1990;0.173223099;0.01183918;0.109724469;0.05165945
ECS;2005;0.177934118;0.016550198;0.109724469;0.05165945
ECS;2010;0.179165896;0.019356694;0.110732889;0.049076312
ECS;2015;0.177257418;0.0223853;0.107253657;0.047618461
ECS;2020;0.170174931;0.025393751;0.09862057;0.04616061
ECS;2025;0.166570354;0.028670221;0.093197373;0.04470276
ECS;2030;0.164981701;0.03232071;0.089416082;0.043244909
ECS;2035;0.158161556;0.036122725;0.080251772;0.041787058
ECS;2040;0.151883047;0.040410939;0.071142901;0.040329207
ECS;2045;0.155565938;0.044184457;0.071056716;0.040324766
ECS;2050;0.159214874;0.04751944;0.071377295;0.040318138
ECS;2055;0.165850206;0.050863608;0.074677274;0.040309324
ECS;2060;0.172003548;0.05444131;0.077262079;0.040300159
ECS;2070;0.1822993;0.062380707;0.079633029;0.040285564
ECS;2080;0.192573239;0.070112541;0.082184268;0.04027643
ECS;2090;0.202367297;0.078287173;0.083809777;0.040270347
ECS;2100;0.212867432;0.087427377;0.085175795;0.04026426
ENC;1990;0.197032579;0.038740397;0.106633436;0.051658747
ENC;2005;0.20800438;0.049712309;0.106633436;0.051658635
ENC;2010;0.203361296;0.050231476;0.104469151;0.048660668
ENC;2015;0.197778382;0.054489802;0.097475901;0.045812679
ENC;2020;0.196129748;0.065034651;0.087993006;0.043102091
ENC;2025;0.198528403;0.068457126;0.088657097;0.04141418
ENC;2030;0.199575099;0.072620505;0.087169953;0.039784642
ENC;2035;0.196567223;0.077534109;0.080822613;0.0382105
ENC;2040;0.199801572;0.082833185;0.078757042;0.038211345
ENC;2045;0.206521135;0.08812145;0.080188993;0.038210692
ENC;2050;0.213956917;0.093190719;0.082554701;0.038211498
ENC;2055;0.224390171;0.098641249;0.087537399;0.038211523
ENC;2060;0.233034421;0.104542747;0.090280126;0.038211547
ENC;2070;0.247899312;0.117539324;0.092148401;0.038211587
ENC;2080;0.262811302;0.131105804;0.093493882;0.038211616
ENC;2090;0.277867934;0.146128628;0.093527668;0.038211638
ENC;2100;0.296334411;0.163019005;0.095103751;0.038211656
ESC;1990;0.207841209;0.038438076;0.117744378;0.051658755
ESC;2005;0.218595564;0.049192538;0.117744378;0.051658648
ESC;2010;0.213641819;0.049692836;0.115280049;0.048668934
ESC;2015;0.207231288;0.053900839;0.10750083;0.045829619
ESC;2020;0.204751794;0.064308598;0.097316556;0.04312664
ESC;2025;0.207374288;0.06772613;0.098202603;0.041445555
ESC;2030;0.20741075;0.071872163;0.095715689;0.039822899
ESC;2035;0.203251692;0.076752865;0.088243094;0.038255732
ESC;2040;0.206070435;0.082022316;0.085791014;0.038257104
ESC;2045;0.211631682;0.08727525;0.086099774;0.038256658
ESC;2050;0.2176775;0.092312555;0.087107682;0.038257263
ESC;2055;0.227343775;0.097718043;0.091368329;0.038257404
ESC;2060;0.236194967;0.103573619;0.094363954;0.038257395
ESC;2070;0.251170257;0.116471366;0.096441483;0.038257408
ESC;2080;0.266374548;0.129944584;0.098173335;0.038256628
ESC;2090;0.282882736;0.144889797;0.099738156;0.038254783
ESC;2100;0.301982116;0.16171329;0.10201636;0.038252466
ESW;1990;0.192781542;0.038740397;0.102382399;0.051658747
ESW;2005;0.203753343;0.049712309;0.102382399;0.051658635
ESW;2010;0.199738139;0.050231476;0.100845994;0.048660668
ESW;2015;0.194897266;0.054489802;0.094594785;0.045812679
ESW;2020;0.194748246;0.065034651;0.086611505;0.043102091
ESW;2025;0.197898699;0.068457126;0.088027393;0.04141418
ESW;2030;0.198374612;0.072620505;0.085969466;0.039784642
ESW;2035;0.194944692;0.077534109;0.079200082;0.0382105
ESW;2040;0.197798053;0.082833185;0.076753523;0.038211345
ESW;2045;0.203198;0.08812145;0.076865858;0.038210692
ESW;2050;0.209196725;0.093190719;0.077794509;0.038211498
ESW;2055;0.218018645;0.098641249;0.081165873;0.038211523
ESW;2060;0.226814943;0.104542747;0.084060649;0.038211547
ESW;2070;0.242360138;0.117539324;0.086609227;0.038211587
ESW;2080;0.257816149;0.131105804;0.088498729;0.038211616
ESW;2090;0.274547499;0.146128628;0.090207233;0.038211638
ESW;2100;0.294121193;0.163019005;0.092890533;0.038211656
EWN;1990;0.200402587;0.038740397;0.110003444;0.051658747
EWN;2005;0.211374388;0.049712309;0.110003444;0.051658635
EWN;2010;0.205879552;0.050231476;0.106987407;0.048660668
EWN;2015;0.199405597;0.054489802;0.099103116;0.045812679
EWN;2020;0.197575621;0.065034651;0.08943888;0.043102091
EWN;2025;0.200503341;0.068457126;0.090632035;0.04141418
EWN;2030;0.200195024;0.072620505;0.087789878;0.039784642
EWN;2035;0.196158784;0.077534109;0.080414174;0.0382105
EWN;2040;0.199119433;0.082833185;0.078074903;0.038211345
EWN;2045;0.204732385;0.08812145;0.078400242;0.038210692
EWN;2050;0.210821732;0.093190719;0.079419515;0.038211498
EWN;2055;0.220250678;0.098641249;0.083397906;0.038211523
EWN;2060;0.229251161;0.104542747;0.086496866;0.038211547
EWN;2070;0.244096379;0.117539324;0.088345469;0.038211587
EWN;2080;0.259181731;0.131105804;0.089864311;0.038211616
EWN;2090;0.276021535;0.146128628;0.091681269;0.038211638
EWN;2100;0.295482384;0.163019005;0.094251723;0.038211656
FRA;1990;0.193694492;0.038740397;0.103295349;0.051658747
FRA;2005;0.204666293;0.049712309;0.103295349;0.051658635
FRA;2010;0.199750835;0.050231476;0.100858691;0.048660668
FRA;2015;0.19409592;0.054489802;0.093793439;0.045812679
FRA;2020;0.193205839;0.065034651;0.085069098;0.043102091
FRA;2025;0.196793194;0.068457126;0.086921888;0.04141418
FRA;2030;0.197800521;0.072620505;0.085395374;0.039784642
FRA;2035;0.194390984;0.077534109;0.078646374;0.0382105
FRA;2040;0.197685864;0.082833185;0.076641334;0.038211345
FRA;2045;0.203675312;0.08812145;0.077343169;0.038210692
FRA;2050;0.209972067;0.093190719;0.078569851;0.038211498
FRA;2055;0.219776613;0.098641249;0.082923841;0.038211523
FRA;2060;0.22880405;0.104542747;0.086049755;0.038211547
FRA;2070;0.24371491;0.117539324;0.087964;0.038211587
FRA;2080;0.259033157;0.131105804;0.089715737;0.038211616
FRA;2090;0.275814957;0.146128628;0.091474691;0.038211638
FRA;2100;0.294977563;0.163019005;0.093746903;0.038211656
IND;1990;0.107264272;0.001045206;0.054559509;0.051659558
IND;2005;0.108121614;0.001902548;0.054559509;0.051659558
IND;2010;0.100192628;0.002620296;0.048444441;0.04912789
IND;2015;0.093042235;0.003454957;0.041342162;0.048245117
IND;2020;0.086271867;0.004251946;0.034657577;0.047362344
IND;2025;0.089693634;0.005380409;0.037833654;0.046479571
IND;2030;0.093927103;0.006893316;0.041436989;0.045596798
IND;2035;0.094899714;0.008811097;0.041374592;0.044714024
IND;2040;0.097060466;0.011041295;0.042187919;0.043831251
IND;2045;0.100670933;0.013481838;0.044240617;0.042948478
IND;2050;0.101942612;0.016030904;0.043846003;0.042065705
IND;2055;0.102894268;0.01869606;0.043015276;0.041182932
IND;2060;0.105230423;0.021420656;0.043509608;0.040300159
IND;2070;0.114303279;0.027554618;0.046463098;0.040285564
IND;2080;0.1212149;0.033711879;0.047226591;0.04027643
IND;2090;0.126004761;0.040114944;0.045619469;0.040270347
IND;2100;0.133823287;0.046655259;0.046903767;0.04026426
JPN;1990;0.190025743;0.049825121;0.088541064;0.051659558
JPN;2005;0.197804067;0.057603445;0.088541064;0.051659558
JPN;2010;0.188987148;0.057973615;0.081885644;0.04912789
JPN;2015;0.182625962;0.063982344;0.071922721;0.046720897
JPN;2020;0.182880542;0.075561733;0.062889217;0.044429592
JPN;2025;0.190042814;0.080290194;0.066646595;0.043106024
JPN;2030;0.193921274;0.086351586;0.065739712;0.041829976
JPN;2035;0.196061589;0.092937711;0.062528195;0.040595683
JPN;2040;0.202902019;0.099296007;0.063010392;0.040595621
JPN;2045;0.210298029;0.105979673;0.063722796;0.040595561
JPN;2050;0.217409213;0.112566716;0.064246996;0.040595501
JPN;2055;0.227333385;0.119963297;0.066774587;0.040595501
JPN;2060;0.237192054;0.127883174;0.068713379;0.040595501
JPN;2070;0.255125733;0.144892166;0.069638066;0.040595501
JPN;2080;0.2748925;0.162478949;0.07181805;0.040595501
JPN;2090;0.296506707;0.181706444;0.074204762;0.040595501
